ticker,nom
TTE.PA,TotalEnergies
SU.PA,Schneider Electric
MC.PA,LVMH
AI.PA,Air Liquide
SAN.PA,Sanofi
AIR.PA,Airbus
SAF.PA,Safran
BNP.PA,BNP Paribas
OR.PA,L'Oreal
CS.PA,AXA
DG.PA,Vinci
EL.PA,EssilorLuxottica
RMS.PA,Hermes International
ENGI.PA,Engie
BN.PA,Danone
GLE.PA,Societe Generale
LR.PA,Legrand
SGO.PA,Saint-Gobain
ORA.PA,Orange
HO.PA,Thales
VIE.PA,Veolia Environnement
ML.PA,Michelin
KER.PA,Kering
RI.PA,Pernod Ricard
STLAP.PA,Stellantis
PUB.PA,Publicis Groupe
CA.PA,Carrefour
EN.PA,Bouygues
CAP.PA,Capgemini
DSY.PA,Dassault Systemes
TEP.PA,Teleperformance
EDEN.PA,Edenred
RNO.PA,Renault
ERF.PA,Eurofins Scientific
STMPA.PA,STMicroelectronics
URW.PA,Unibail-Rodamco-Westfield
WLN.PA,Worldline
ACA.PA,Credit Agricole
ALO.PA,Alstom
FGR.PA,Eiffage
BVI.PA,Bureau Veritas
IPN.PA,Ipsen
GET.PA,Getlink
RXL.PA,Rexel
SOP.PA,Sopra Steria
ELIS.PA,Elis
VK.PA,Vallourec
NEX.PA,Nexans
NK.PA,Imerys
BB.PA,Bic
ITP.PA,Interparfums
UBI.PA,Ubisoft Entertainment
VIV.PA,Vivendi
DEC.PA,JCDecaux
RCO.PA,Remy Cointreau
SK.PA,SEB
SW.PA,Sodexo
SOLB.PA,Solvay
MF.PA,Wendel
LI.PA,Klepierre
GFC.PA,Gecina
ICAD.PA,Icade
COV.PA,Covivio
MERY.PA,Mercialys
FDJ.PA,FDJ United
COFA.PA,Coface
SCR.PA,Scor SE
AMUN.PA,Amundi
TE.PA,Technip Energies
IPS.PA,Ipsos
NXI.PA,Nexity
TRI.PA,Trigano
VIRP.PA,Virbac
VRLA.PA,Verallia
VCT.PA,Vicat
DBG.PA,Derichebourg
AKE.PA,Arkema
NEOEN.PA,Neoen
GTT.PA,GTT
SOI.PA,Soitec
AM.PA,Dassault Aviation
AF.PA,Air France-KLM
ADP.PA,Aeroports de Paris
AC.PA,Accor
MMT.PA,M6 Metropole Television
TFI.PA,TF1
SPIE.PA,Spie
FR.PA,Valeo
FRVIA.PA,Forvia
OPM.PA,OPmobility
ERA.PA,Eramet
MAU.PA,Maurel & Prom
RUI.PA,Rubis
BOL.PA,Bollore
ENX.PA,Euronext
RBT.PA,Robertet
DIM.PA,Sartorius Stedim Biotech
BIM.PA,Biomerieux
ATO.PA,Atos
ARG.PA,Argan
ATE.PA,Alten
MRN.PA,Mersen
PLX.PA,Pluxee
VU.PA,VusionGroup
PLNW.PA,Planisware
AYV.PA,Ayvens
VLA.PA,Valneva SE
BEN.PA,Beneteau
CARM.PA,Carmila
NANO.PA,Nanobiotix
ADOC.PA,Adocia
